username,statement_attitude_324,argument_rating_325,statement_attitude_325,argument_rating_326,statement_attitude_326,argument_rating_327,statement_attitude_327,argument_rating_328,statement_attitude_328,argument_rating_329,statement_attitude_329,argument_rating_330,statement_attitude_330,argument_rating_331,statement_attitude_331,argument_rating_332,statement_attitude_332,argument_rating_333,statement_attitude_333,argument_rating_334,statement_attitude_334,argument_rating_335,statement_attitude_335,argument_rating_336,statement_attitude_336,argument_rating_337,statement_attitude_337,argument_rating_338,statement_attitude_338,argument_rating_339,statement_attitude_339,argument_rating_340,statement_attitude_340,argument_rating_341,statement_attitude_341,argument_rating_342,statement_attitude_342,argument_rating_343,statement_attitude_343,argument_rating_344,statement_attitude_344,argument_rating_345,statement_attitude_345,argument_rating_346,statement_attitude_346,argument_rating_347,statement_attitude_347,argument_rating_348,statement_attitude_348,argument_rating_349,statement_attitude_349,argument_rating_350,statement_attitude_350,argument_rating_351,statement_attitude_351,argument_rating_352,statement_attitude_352,argument_rating_353,statement_attitude_353,argument_rating_354,statement_attitude_354,argument_rating_355,statement_attitude_355,argument_rating_356,statement_attitude_356,argument_rating_357,statement_attitude_357,argument_rating_358,statement_attitude_358,argument_rating_359,statement_attitude_359,argument_rating_360,statement_attitude_360,argument_rating_361,statement_attitude_361,argument_rating_362,statement_attitude_362,statement_attitude_363,argument_rating_364,statement_attitude_364,argument_rating_365,statement_attitude_365,argument_rating_366,statement_attitude_366,argument_rating_367,statement_attitude_367,argument_rating_368,statement_attitude_368,argument_rating_369,statement_attitude_369,argument_rating_370,statement_attitude_370,argument_rating_371,statement_attitude_371,argument_rating_372,statement_attitude_372,argument_rating_373,statement_attitude_373,argument_rating_374,statement_attitude_374,argument_rating_375,statement_attitude_375,argument_rating_376,statement_attitude_376,argument_rating_377,statement_attitude_377,argument_rating_378,statement_attitude_378,argument_rating_379,statement_attitude_379,argument_rating_380,statement_attitude_380,argument_rating_381,statement_attitude_381,argument_rating_382,statement_attitude_382,argument_rating_383,statement_attitude_383,argument_rating_384,statement_attitude_384,argument_rating_385,statement_attitude_385,argument_rating_386,statement_attitude_386,argument_rating_387,statement_attitude_387,argument_rating_388,statement_attitude_388,argument_rating_389,statement_attitude_389,argument_rating_390,statement_attitude_390,argument_rating_391,statement_attitude_391,argument_rating_392,statement_attitude_392,argument_rating_393,statement_attitude_393,argument_rating_394,statement_attitude_394,argument_rating_395,statement_attitude_395,argument_rating_396,statement_attitude_396,argument_rating_397,statement_attitude_397,argument_rating_398,statement_attitude_398,argument_rating_399,statement_attitude_399,argument_rating_467,statement_attitude_467,argument_rating_472,statement_attitude_472,argument_rating_473,statement_attitude_473,argument_rating_474,statement_attitude_474,argument_rating_475,statement_attitude_475,argument_rating_476,statement_attitude_476,argument_rating_477,statement_attitude_477,argument_rating_478,statement_attitude_478,argument_rating_479,statement_attitude_479,argument_rating_480,statement_attitude_480,argument_rating_481,statement_attitude_481,argument_rating_486,statement_attitude_486,argument_rating_494,statement_attitude_494,argument_rating_496,statement_attitude_496,argument_rating_497,statement_attitude_497,argument_rating_498,statement_attitude_498,argument_rating_516,statement_attitude_516,argument_rating_526,statement_attitude_526,argument_rating_531,statement_attitude_531,argument_rating_532,statement_attitude_532,argument_rating_540,statement_attitude_540,argument_rating_541,statement_attitude_541,argument_rating_547,statement_attitude_547,argument_rating_548,statement_attitude_548,argument_rating_549,statement_attitude_549,argument_rating_557,statement_attitude_557,argument_rating_560,statement_attitude_560,argument_rating_561,statement_attitude_561,argument_rating_562,statement_attitude_562,argument_rating_563,statement_attitude_563,argument_rating_565,statement_attitude_565,argument_rating_567,statement_attitude_567,argument_rating_596,statement_attitude_596,argument_rating_597,statement_attitude_597,argument_rating_598,statement_attitude_598,argument_rating_599,statement_attitude_599,argument_rating_601,statement_attitude_601,argument_rating_603,statement_attitude_603,argument_rating_605,statement_attitude_605,argument_rating_606,statement_attitude_606,argument_rating_607,statement_attitude_607,argument_rating_608,statement_attitude_608,argument_rating_613,statement_attitude_613,argument_rating_621,statement_attitude_621,argument_rating_622,statement_attitude_622,argument_rating_625,statement_attitude_625,argument_rating_627,statement_attitude_627,argument_rating_634,statement_attitude_634,argument_rating_641,statement_attitude_641,argument_rating_646,statement_attitude_646,argument_rating_647,statement_attitude_647,argument_rating_650,statement_attitude_650,argument_rating_661,statement_attitude_661,argument_rating_663,statement_attitude_663,argument_rating_664,statement_attitude_664,argument_rating_669,statement_attitude_669,argument_rating_674,statement_attitude_674,argument_rating_683,statement_attitude_683,argument_rating_688,statement_attitude_688,argument_rating_692,statement_attitude_692,argument_rating_697,statement_attitude_697,argument_rating_700,statement_attitude_700,argument_rating_704,statement_attitude_704,argument_rating_705,statement_attitude_705,argument_rating_706,statement_attitude_706,argument_rating_708,statement_attitude_708,argument_rating_710,statement_attitude_710,argument_rating_713,statement_attitude_713,argument_rating_716,statement_attitude_716,argument_rating_724,statement_attitude_724,argument_rating_726,statement_attitude_726,argument_rating_728,statement_attitude_728,argument_rating_729,statement_attitude_729,argument_rating_731,statement_attitude_731,argument_rating_733,statement_attitude_733,argument_rating_743,statement_attitude_743,argument_rating_744,statement_attitude_744,argument_rating_745,statement_attitude_745,argument_rating_747,statement_attitude_747,argument_rating_748,statement_attitude_748,argument_rating_749,statement_attitude_749,argument_rating_750,statement_attitude_750,argument_rating_751,statement_attitude_751,argument_rating_752,statement_attitude_752,argument_rating_753,statement_attitude_753,argument_rating_754,statement_attitude_754,argument_rating_771,statement_attitude_771,argument_rating_789,statement_attitude_789,argument_rating_791,statement_attitude_791,argument_rating_795,statement_attitude_795,argument_rating_797,statement_attitude_797,argument_rating_798,statement_attitude_798,argument_rating_802,statement_attitude_802,argument_rating_803,statement_attitude_803,argument_rating_811,statement_attitude_811,argument_rating_818,statement_attitude_818,argument_rating_819,statement_attitude_819,argument_rating_820,statement_attitude_820,argument_rating_821,statement_attitude_821,argument_rating_824,statement_attitude_824,argument_rating_830,statement_attitude_830,argument_rating_835,statement_attitude_835,argument_rating_836,statement_attitude_836,argument_rating_840,statement_attitude_840,argument_rating_841,statement_attitude_841,argument_rating_845,statement_attitude_845,argument_rating_846,statement_attitude_846,argument_rating_864,statement_attitude_864,argument_rating_871,statement_attitude_871,argument_rating_885,statement_attitude_885,argument_rating_901,statement_attitude_901,argument_rating_904,statement_attitude_904,argument_rating_905,statement_attitude_905,argument_rating_906,statement_attitude_906,argument_rating_914,statement_attitude_914,argument_rating_915,statement_attitude_915,argument_rating_930,statement_attitude_930,argument_rating_931,statement_attitude_931,argument_rating_934,statement_attitude_934,argument_rating_935,statement_attitude_935,argument_rating_936,statement_attitude_936,argument_rating_939,statement_attitude_939,argument_rating_956,statement_attitude_956,argument_rating_957,statement_attitude_957,argument_rating_958,statement_attitude_958,argument_rating_959,statement_attitude_959,argument_rating_960,statement_attitude_960,position_rating_after_324,position_rating_after_363
upeki_pretest_2_114,1,,,,,,,,,,,6.0,0.0,,,,,,,,,5.0,0.0,,,,,,,5.0,0.0,,,,,5.0,1.0,,,,,,,,,,,2.0,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,,,1,,,,,,,5.0,1.0,6.0,1.0,,,6.0,1.0,,,,,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,3.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,3.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
upekiuser_825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4.0,0.0,,,,,,,,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,5.0,1.0,,,4.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
upeki_pretest_2_77,1,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,1,6.0,1.0,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
upeki_pretest_2_43,0,,,,,,,,,,,,,5.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,5.0,1.0,,,5.0,1.0,,,,,5.0,1.0,,,,,,,5.0,1.0,,,,,0,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,6.0,1.0,6.0,1.0,,,6.0,1.0,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
upekiuser_5389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,1.0,0.0,,,4.0,1.0,,,5.0,1.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
upeki_pretest_2_177,1,4.0,1.0,,,4.0,1.0,,,,,,,,,,,4.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,0.0,2.0,0.0,,,,,1.0,0.0,,,,,,,5.0,1.0,,,,,1.0,0.0,,,,,,,,,1,,,4.0,1.0,,,,,6.0,1.0,4.0,1.0,,,,,,,3.0,0.0,,,4.0,1.0,3.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
upeki_pretest_3_19,1,,,,,,,,,6.0,1.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,,,,,,,,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
upeki_pretest_3_96,1,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,2.0,0.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,3.0,1.0,1,,,,,,,,,,,,,,,,,4.0,1.0,,,4.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
upekiuser_2861,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
upekiuser_2095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3.0,1.0,,,,,,,,,,,,,2.0,0.0,,,,,,,4.0,0.0,,,,,,,,,,,,,4.0,1.0,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
