statement_id,text,text_en,conclusions,author
83,Soll in Deutschland ökologische Landwirtschaft oder konventionelle Landwirtschaft finanziell stärker von der Politik unterstützt werden,Should in Germany organic agriculture or conventional agriculture receive more financial support from politicians?,,UPEKI
84,"Ökologische Landwirtschaft sollte stärker gefördert werden, weil das nachhaltiger ist",Organic farming should be promoted more because it is more sustainable,83(+),UPEKI
85,"Wenn ökologische Landwirtschaft stärker gefördert wird, produzieren auch mehr Bauern ökologisch","If organic farming is promoted more, more farmers will also produce organic","83(+),96(-),324(+)",UPEKI
86,Ökologische Landwirtschaft stößt weniger Treibhausgase aus,Organic farming emits fewer greenhouse gases,83(+),UPEKI
87,"Wenn konventionelle Landwirtschaft stärker gefördert wird, ändert sich in der Landwirtschaft nichts zum Besseren","If conventional agriculture is promoted more, nothing will change in agriculture for the better","83(+),119(+),101(+),95(+)",UPEKI
88,"Deutschland sollte Vorreiter in ökologischer Landwirtschaft werden, damit andere Länder nachziehen",Germany should become a pioneer in organic agriculture so that other countries can follow suit,83(+),UPEKI
89,Ökologische Landwirtschaft behandelt Tiere besser,Organic farming treats animals better,83(+),UPEKI
90,Alle Tiere sollten an die frische Luft kommen dürfen,All animals should be allowed to get into the fresh air,83(+),UPEKI
91,Durch ökologische Landwirtschaft wird die ökologische Vielfalt erhalten,Ecological agriculture preserves ecological diversity,83(+),UPEKI
92,Konventionelle Landwirtschaft wurde lange genug finanziell unterstützt,Conventional agriculture has received financial support long enough,83(+),UPEKI
93,"Ökologische Landwirtschaft sollte stärker gefördert werden, weil das für die Tiere besser ist",Organic farming should be promoted more because it is better for the animals,83(+),UPEKI
94,Konventionelle Landwirtschaft versorgt die Menschen in Deutschland,Conventional agriculture supplies the people in Germany,83(-),UPEKI
95,Durch konventionelle Landwirtschaft wird die Kulturlandschaft gepflegt,The cultural landscape is maintained through conventional agriculture,83(-),UPEKI
96,"Ohne die Förderung konventioneller Landwirtschaft, könnten die Bauern weniger ernten","Without the promotion of conventional agriculture, farmers would be able to harvest less","83(-),324(-)",UPEKI
97,"Wenn konventionelle Landwirtschaft nicht gefördert wird, müssten mehr Lebensmittel importiert werden, was nicht gut für das Klima ist","If conventional agriculture is not promoted, more food would have to be imported, which is not good for the climate",83(-),UPEKI
98,Konventionelle Landwirtschaft verbraucht weniger Fläche,Conventional agriculture uses less land,83(-),UPEKI
99,"Längst nicht alles, was als ökologische Landwirtschaft bezeichnet wird, ist auch ökologisch",Not everything that is described as ecological agriculture is also ecological,"83(-),189(+)",UPEKI
100,Ökologische Produkte sollten sich bei guter Qualität auch ohne staatliche Förderung am Markt durchsetzen,"With good quality, ecological products should assert themselves on the market even without government funding",83(-),UPEKI
101,"Wenn konventionelle Landwirtschaft nicht mehr so stark gefördert wird, werden viele Bauern arbeitslos","When conventional agriculture is no longer so strongly promoted, many farmers become unemployed","83(-),328(+)",UPEKI
102,"Konventionelle Landwirtschaft ist nicht so schlimm, wie immer gesagt wird",Conventional farming isn't as bad as is always said,83(-),UPEKI
103,"Die Politik sollte konventionelle Landwirtschaft stärker fördern, um im internationalen Wettbewerb bestehen zu können",Politicians should promote conventional agriculture more in order to survive in international competition,83(-),UPEKI
112,Ökologische Landwirtschaft hat langfristig bessere Wettbewerschancen,Organic agriculture has better competitive chances in the long term,"103(-),349(-)",user1046
117,"Was für den Anbau von lebensmitteln gilt, sollte auch für die Tierhaltung gelten. Wer dies erkennt, geht auch verantwortungsbewusster mit den Tieren um",What applies to growing food should also apply to animal husbandry. Those who recognize this also treat the animals more responsibly,"89(+),381(-)",user551
123,die aussage so stimmt,the statement is correct,"99(+),91(+)",user148
131,ökologische Landwirtschaft ist viel gesünder,organic farming is much healthier,"83(+),381(-)",user829
132,"es sollte sich mehr für eine artgerechtere Haltung der Tiere eingesetzt werden, auch wenn daduch der Preis für Fleisch steigen würde","More should be done for a more appropriate keeping of the animals, even if this would increase the price of meat",83(+),user524
133,Bessere Lebensbedingungen für Nutztiere,Better living conditions for farm animals,90(+),user524
134,biodiversität geht verloren,biodiversity is being lost,83(+),user26
135,Misstrauen gegen Labels,Distrust of labels,99(+),user41
136,Ernte heißt Gewinn. Wer gewinnt? Wer verdient mehr? Die Bauern oder andere,Harvest means profit. Who wins? Who deserves more? The farmers or others,96(+),user41
138,Der Einsatz weniger Pestizide ist für die Gesundheit aller gut,Using fewer pesticides is good for everyone's health,"83(+),350(+)",user542
139,"Weil wir schon so viele Zusatzstoffe zu uns nehmen, da wäre es doch schön wenn beim Prozess der Entstehung der Zutat wenigstens nicht noch was mitzugegeben wird","Because we already consume so many additives, it would be nice if at least something wasn't added during the process of creating the ingredient","138(+),84(+)",user542
140,klingt logisch,sounds logical,85(+),user1052
141,"Konventionelle Landwirtschaft ist die beste Lösung, um die wachsende Bevölkerung zu ernähren",Conventional farming is the best solution to feed the growing population,102(+),user58
142,"Es muss weniger/kein Antibiotika gefüttert werden, da die Tiere mehr Platz haben, was auch für uns Menschen besser ist","Less/no antibiotics have to be fed, as the animals have more space, which is also better for us humans",83(+),user567
143,"Die Bauern haben dann das Gefühl, dass ihre Mühen sich lohnen und ihre Arbeit wertgeschätzt wird",The farmers then have the feeling that their efforts are worthwhile and that their work is valued,85(+),user567
144,Bio für alle ist aus Effifzienz- und Flächengründen unmöglich,"For reasons of efficiency and space, organic for everyone is impossible",102(+),user71
145,In der Bio-Landwirtschaft gibt es mehr Ausschuss und durch die Schädlingsbekämpfung sterben auch Tiere,"There is more waste in organic farming, and pest control also kills animals",99(+),user71
146,Dasselbe Argument wie zuvor: Bio-Landwirtschaft überall ist aus Kosten- und Effizienzgründen unmöglich,The same argument as before: organic farming everywhere is impossible for reasons of cost and efficiency,94(+),user71
147,Ökologische Landwirtschaft dient dem Tierwohl,Organic agriculture serves animal welfare,83(+),user597
148,Keine Massentierhaltung,No factory farming,"91(+),381(+)",user597
149,Weil es nicht weniger Tierhaltung geben wird,Because there won't be less animal husbandry,86(-),user597
150,"Liegt auf der Hand,Importe sind nicht gut für das Klima","Obviously, imports are not good for the climate","97(+),357(+)",user99
151,Abschaffung der Massentierhaltung,Abolition of factory farming,83(+),user1106
152,mehr ökologische landwirtschaft macht die produkte preiswerter und steigert die abnahme,more ecological agriculture makes the products cheaper and increases the purchase,84(+),user608
153,Tierwohl und Boden und Gewässerschutz,Animal welfare and soil and water protection,151(+),user1106
154,Artenvielfalt,biodiversity,84(+),user617
155,"weniger Tiere,Tiere werden besser behandelt","fewer animals, animals are treated better",89(+),user617
156,Es ist ethischer hier Vorreiter zu sein,It is more ethical to be a pioneer here,"88(+),193(+)",user617
157,Vermeidung von Insektiziden vermeidet auch die Ausrottung von Insekten,Avoiding insecticides also avoids the extermination of insects,"91(+),363(+)",user1134
158,"Herkömmliche Landwirtschaft ist so industriell organisiert, dass sie kostengünstig große Mengen produzieren kann",Conventional agriculture is organized so industrially that it can produce large quantities inexpensively,94(+),user1134
159,Bauern wollen auch ihre Einkommenssituation stabilisieren und langffristig absichern,Farmers also want to stabilize their income situation and secure it over the long term,85(+),user1134
160,bessre lebensmittel bessre gesundheit,"better food, better health",84(+),user1138
161,"Weil es um Lebewesen geht, so wie wir Menschen auch","Because it's about living beings, just like us humans",93(+),user1146
162,Nachhaltiger soll es auf alle fälle sein,"In any case, it should be more sustainable","84(+),392(+)",user640
163,Produkte nicht heimischer Herkunft wären möglicherweise günstiger; heimische Produkte könnten nicht mehr konkurenzfähig sein,Products of non-domestic origin might be cheaper; domestic products could no longer be competitive,97(+),user146
164,Fördermittel kein Argument für quantitativen Ertrag,Subsidies are not an argument for quantitative returns,96(-),user146
166,Man kann es auch so aussehen lassen als ob man ökologisch ist,You can also make it look like you're ecological,99(+),user158
167,"Die ökologische Vielfalt, entgegen der Monokultur der konventionellen Landwirtschaft erhält die Lebensgrundlage der gesamten Menschheit. (Siehe Insekten, Feuchtigkeit, Schädlinge etc.)","The ecological diversity, contrary to the monoculture of conventional agriculture, preserves the livelihood of all humanity. (See insects, moisture, pests, etc.)",91(+),user1074
168,Mehr Förderung würde die Preise senken,More promotion would lower prices,83(+),user1124
169,Es sind Lebewesen die an die Luft gehören,They are living beings that belong in the air,90(+),user1124
170,Bilder zeigen wie Tiere gehalten werden,Pictures show how animals are kept,102(-),user1124
171,"Das ist in der Regel so, dass wenn Dinge unterstützt und gefördert werden, sie auch häufiger genutzt und umgesetzt werden","As a rule, when things are supported and promoted, they are also used and implemented more frequently",85(+),user1177
172,"Der Ansatz mag gut sein, aber die Aussführung basiert nur auf dem Weglassen von effizienten Mitteln. Das kann kein Ziel sein","The approach may be good, but the execution is based only on leaving out efficient means. That can't be a goal",99(+),user1148
173,Ökologische Landwirtschaft belastet die Umwelt weniger stark,Organic farming has less of an impact on the environment,"83(+),185(+)",user174
174,Ökologische Landwirtschaft reduziert Insektensterben,Organic farming reduces insect mortality,83(+),user174
175,Ökologische Landwirtschaft ist gesundheitlich unbedenklicher (Allergien),Organic farming is less harmful to health (allergies),173(+),user174
176,Verwendung weniger Pestizide,Use fewer pesticides,173(+),user174
177,Ist teurer und sollte gefördert werden,Is more expensive and should be encouraged,100(-),user174
178,"Ich bin nicht dafür, finde das Argument aber überzeugend weil durch den Import mehr Treibhausgase frei werden","I am not in favor, but I find the argument convincing because more greenhouse gases are released through imports","97(+),383(-)",user1189
179,nachhaltiger,more sustainable,84(+),user1189
180,ungenaue Angaben,inaccurate information,87(-),user1189
181,ökologische Landwirtschaft versorgt die Menschen auch,Organic farming also provides for the people,94(-),user205
324,Sollte der Anbau gentechnisch veränderter Pflanzen zur Produktion von Lebensmitteln in Deutschland erlaubt oder verboten sein,Should the cultivation of genetically modified plants for the production of food be allowed or prohibited in Germany?,,UPEKI
325,"Gentechnik führt vermutlich dazu, dass noch mehr Tier- und Pflanzenarten aussterben",Genetic engineering is likely to lead to even more animal and plant species becoming extinct,324(+),UPEKI
326,Gegen Gentechnik spricht: Gentechnische Veränderungen an Pflanzen sind nicht mehr rückgängig zu machen. Damit wird zu stark in die Natur eingegriffen,What speaks against genetic engineering is that genetic modifications to plants can no longer be reversed. This interferes too much with nature,324(+),UPEKI
327,"Der Anbau von Genpflanzen macht womöglich den Boden unfruchtbar, auf dem die Pflanzen wachsen",The cultivation of genetic plants may render the soil on which the plants grow sterile,324(+),UPEKI
328,"Gegen Gentechnik spricht, dass große Saatguthersteller durch Gentechnik noch mächtiger werden und die Preise für Saatgut in die Höhe treiben",What speaks against genetic engineering is the fact that large seed manufacturers are becoming even more powerful through genetic engineering and are driving up the prices for seeds,324(+),UPEKI
329,"Gegen Gentechnik spricht: Man kann nicht verhindern, dass sich gentechnisch veränderter Pflanzen unkontrolliert ausbreiten",What speaks against genetic engineering is that you cannot prevent genetically modified plants from spreading in an uncontrolled manner,324(+),UPEKI
330,Genpflanzen sind schädlich für die Gesundheit von Lebewesen. Das zeigen zumindest einige wissenschaftliche Studien mit Tieren,Gene plants are harmful to the health of living things. At least that is what some scientific studies with animals show,"324(+),332(+)",UPEKI
331,"Im Kampf gegen den Hunger auf der Welt brauchen wir keine gentechnisch veränderten Lebensmittel, sondern eine gerechtere Verteilung von Lebensmitteln","In the fight against hunger in the world, we do not need genetically modified food, but a fairer distribution of food",324(+),UPEKI
332,"Gentechnik trägt dazu bei, dass Bauern noch abhängiger von großen Konzernen werden",Genetic engineering helps farmers to become even more dependent on large corporations,324(+),UPEKI
333,"Genetisch verändertes Saatgut ist viel zu teuer. Wenn sich das durchsetzt, könnten Kleinbauern massenhaft pleitegehen","Genetically modified seeds are far too expensive. If this catches on, small farmers could go bankrupt en masse","324(+),355(+)",UPEKI
334,"Gegen Gentechnik spricht, dass Gen-Pflanzen das Erbgut von normalen Pflanzen verunreinigen können",What speaks against genetic engineering is that gene plants can contaminate the genome of normal plants,"324(+),338(+)",UPEKI
